id,timestamp,price,market_cap,total_volume,ath,atl,open,high,low,close
bitcoin,2025-02-16,97569.95169430465,1934308378710.2861,14215311318.346336,126080.0,67.81,97569.95169430465,97569.95169430465,97569.95169430465,97569.95169430465
bitcoin,2025-02-17,96149.3484548204,1905012222220.3691,13634794998.739267,126080.0,67.81,96149.3484548204,96149.3484548204,96149.3484548204,96149.3484548204
bitcoin,2025-02-18,95776.15723852723,1898997753781.9536,25324374113.08163,126080.0,67.81,95776.15723852723,95776.15723852723,95776.15723852723,95776.15723852723
bitcoin,2025-02-19,95495.89153299287,1892702154844.508,38311133144.729355,126080.0,67.81,95495.89153299287,95495.89153299287,95495.89153299287,95495.89153299287
bitcoin,2025-02-20,96554.87156259285,1914337919659.5537,27703222487.389572,126080.0,67.81,96554.87156259285,96554.87156259285,96554.87156259285,96554.87156259285
bitcoin,2025-02-21,98384.31738240314,1950376106325.3228,24175261969.81266,126080.0,67.81,98384.31738240314,98384.31738240314,98384.31738240314,98384.31738240314
bitcoin,2025-02-22,96135.15541305285,1906058197506.3809,42477472950.92155,126080.0,67.81,96135.15541305285,96135.15541305285,96135.15541305285,96135.15541305285
bitcoin,2025-02-23,96564.15414290235,1915260330870.798,18464415570.762142,126080.0,67.81,96564.15414290235,96564.15414290235,96564.15414290235,96564.15414290235
bitcoin,2025-02-24,96327.46309127835,1909625674815.4763,16643044374.983364,126080.0,67.81,96327.46309127835,96327.46309127835,96327.46309127835,96327.46309127835
bitcoin,2025-02-25,91396.76686930266,1814176779160.4363,45539703844.38777,126080.0,67.81,91396.76686930266,91396.76686930266,91396.76686930266,91396.76686930266
bitcoin,2025-02-26,88755.7693356979,1759750360550.3337,96742453402.56294,126080.0,67.81,88755.7693356979,88755.7693356979,88755.7693356979,88755.7693356979
bitcoin,2025-02-27,83900.11496524839,1664314955447.7466,69277430795.68657,126080.0,67.81,83900.11496524839,83900.11496524839,83900.11496524839,83900.11496524839
bitcoin,2025-02-28,84709.14477847965,1679555320077.2097,81960688217.70384,126080.0,67.81,84709.14477847965,84709.14477847965,84709.14477847965,84709.14477847965
bitcoin,2025-03-01,84441.9012237131,1674754437110.342,80695237175.07367,126080.0,67.81,84441.9012237131,84441.9012237131,84441.9012237131,84441.9012237131
bitcoin,2025-03-02,86005.25629681018,1705564098300.8237,30634474722.6359,126080.0,67.81,86005.25629681018,86005.25629681018,86005.25629681018,86005.25629681018
bitcoin,2025-03-03,94261.53286538439,1868321705444.4878,61859112550.80991,126080.0,67.81,94261.53286538439,94261.53286538439,94261.53286538439,94261.53286538439
bitcoin,2025-03-04,86124.71418722175,1708198960874.3418,68715362745.4567,126080.0,67.81,86124.71418722175,86124.71418722175,86124.71418722175,86124.71418722175
bitcoin,2025-03-05,87310.80531078295,1731441668069.6523,65863356680.42408,126080.0,67.81,87310.80531078295,87310.80531078295,87310.80531078295,87310.80531078295
bitcoin,2025-03-06,90604.08098523637,1797706868227.531,51606642859.81411,126080.0,67.81,90604.08098523637,90604.08098523637,90604.08098523637,90604.08098523637
bitcoin,2025-03-07,90001.40087607042,1782785866811.654,47555759124.64708,126080.0,67.81,90001.40087607042,90001.40087607042,90001.40087607042,90001.40087607042
bitcoin,2025-03-08,86773.33597555371,1720436931689.2776,63216440874.73251,126080.0,67.81,86773.33597555371,86773.33597555371,86773.33597555371,86773.33597555371
bitcoin,2025-03-09,86142.9833586432,1708605516770.228,18809360803.37126,126080.0,67.81,86142.9833586432,86142.9833586432,86142.9833586432,86142.9833586432
bitcoin,2025-03-10,80751.13893300897,1602073794580.0344,32013406240.51754,126080.0,67.81,80751.13893300897,80751.13893300897,80751.13893300897,80751.13893300897
bitcoin,2025-03-11,78783.94057934263,1563547150147.7332,49983692766.22745,126080.0,67.81,78783.94057934263,78783.94057934263,78783.94057934263,78783.94057934263
